Unnamed: 0,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
1519039,735,21st Amendment Brewery,1316284029,3.0,4.0,4.0,goldbot,American Black Ale,2.5,3.0,Back In Black,6.8,46070
698362,130,Boulder Beer / Wilderness Pub,1240880374,4.5,4.0,4.0,Naugled,Russian Imperial Stout,4.0,3.5,Obovoid Oak-Aged Oatmeal Stout,8.0,38660
773090,42,Brewery Ommegang,1172357728,5.0,5.0,4.5,guitarmage,Saison / Farmhouse Ale,4.0,4.5,Hennepin (Farmhouse Saison),7.7,141
160998,3818,Southern Tier Brewing Company,1285537381,3.5,5.0,4.0,Kbogac,American Double / Imperial Stout,4.0,4.5,Creme Brulee (Imperial Milk Stout),9.6,43687
741231,266,Mad River Brewing Company,1232414131,4.0,4.5,2.0,u2carew,English Porter,4.0,4.0,Steelhead Scotch Porter,6.5,734
895564,147,Stone Brewing Co.,1293593974,4.0,4.0,4.5,oglmcdgl,American Strong Ale,4.0,4.0,Lukcy 13asartd Ale,8.5,62645
609112,493,Cosmos Brewery (Thai Beverage Plc.),1272763455,3.0,1.0,3.0,TrippnFiasco,American Adjunct Lager,3.0,2.0,Chang Beer (Export),5.0,39875
1511076,652,Central Waters Brewing Company,1216659907,4.5,4.5,4.0,largadeer,American Stout,4.5,4.5,Brewhouse Coffee Stout,8.2,35930
571157,9897,Jolly Pumpkin Artisan Ales,1225209304,4.0,4.5,5.0,Phyl21ca,Belgian Strong Dark Ale,4.0,4.5,Noel De Calabaza,9.0,39267
1369127,220,Lagunitas Brewing Company,1236648890,3.5,3.0,3.0,JonathanL7890,American Double / Imperial Stout,3.0,3.5,Cruising With Ruben & The Jets,8.6,46357
1540240,345,Victory Brewing Company,1292558045,4.0,3.5,3.0,cjgator3,Märzen / Oktoberfest,3.5,3.5,Festbier,5.6,1017
1015093,1416,Uinta Brewing Company,1262551273,4.5,4.5,4.0,Deuane,American Barleywine,4.0,4.0,Anniversary Barley Wine,10.4,3840
1396870,8325,Cape Ann Brewing Company,1144609703,4.5,3.5,2.5,WanderingFool,American IPA,4.0,4.0,Fisherman's IPA,6.0,26501
1006810,637,Brasserie Dupont sprl,1195982432,3.5,3.5,3.5,thierrynantes,Saison / Farmhouse Ale,3.5,4.0,Foret,7.5,2430
