Unnamed: 0,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
304115,35,Boston Beer Company (Samuel Adams),1240659882,4.0,4.0,3.5,WakeandBake,Witbier,3.0,4.0,Samuel Adams White Ale,5.2,8297
849097,2104,McMenamins,1319406279,4.0,3.5,4.0,olfolxholme,American Pale Ale (APA),3.5,4.0,Hammerhead Ale,5.93,7952
660120,3120,Alpine Beer Company,1274738121,4.0,5.0,3.5,Metalmonk,American IPA,4.5,4.5,Nelson,7.1,32286
1584199,41,Brouwerij Corsendonk,1238707962,2.5,4.0,3.5,merryjoulton,Tripel,3.0,3.0,Corsendonk Agnus / Abbey Pale Ale,7.5,139
644840,30,Avery Brewing Company,1167691114,3.5,3.5,3.5,gunnerman,Russian Imperial Stout,4.0,3.5,The Czar,11.03,7850
31071,1199,Founders Brewing Company,1124324214,4.0,4.0,4.0,Brian700,American IPA,3.5,4.0,Founders Centennial IPA,7.2,5441
813312,99,Matt Brewing Company,1322970575,4.0,4.0,3.5,wafers,American Pale Ale (APA),4.0,4.0,Saranac Big Moose Ale,5.3,53202
45761,1,"Plzensky Prazdroj, a. s.",1299899672,4.5,4.5,3.5,Kelly88,Czech Pilsener,4.0,4.0,Pilsner Urquell,4.4,429
1482169,124,Paulaner Brauerei GmbH & Co. KG,1284247621,4.0,4.0,3.5,morimech,Märzen / Oktoberfest,4.0,3.5,Paulaner Wiesn Bier,6.0,61555
250177,215,Bières de Chimay S.A.,1137264540,4.5,4.5,4.5,atigerlife,Dubbel,4.0,4.5,Chimay Première (Red),7.0,672
1249375,888,"Cervecería Centro Americana, S.A.",1202935915,3.5,3.0,3.0,chiapete,American Adjunct Lager,3.0,2.5,Bahia Lager,,15734
1206649,231,The People's Pint,1220998083,3.5,3.5,3.5,NEhophead,Oatmeal Stout,3.5,3.5,Our Oatmeal Stout,4.9,15708
768685,42,Brewery Ommegang,1223420808,3.0,4.0,4.0,Nesued,American Wild Ale,3.0,3.0,Ommegeddon,8.0,25005
737815,826,Brasserie de l'Abbaye du Val-Dieu,1186161318,4.0,4.0,4.0,Boto,Belgian Strong Pale Ale,3.5,4.5,Rader Ambrée,10.5,31449
973271,74,Gritty McDuff's Brewing Company,1309186695,3.5,4.0,4.0,Genuine,American Blonde Ale,3.5,3.0,Vacationland Summer Ale,4.9,9557
1255255,368,Capital Brewery,1143402473,4.0,4.0,4.0,DrJay,Doppelbock,3.5,3.5,Dark Doppelbock,,989
291066,35,Boston Beer Company (Samuel Adams),1266517111,4.5,3.5,4.0,deaconoflove,English Porter,4.0,4.0,Samuel Adams Honey Porter,5.45,2684
862363,9790,The Duck-Rabbit Craft Brewery,1145333694,4.0,3.5,4.0,blitheringidiot,Milk / Sweet Stout,4.5,4.0,Duck-Rabbit Milk Stout,5.7,20216
1340090,26,Three Floyds Brewing Co. & Brewpub,1234733719,4.5,4.0,4.0,brewandbbq,American Pale Ale (APA),4.0,4.0,Alpha King Pale Ale,6.0,39
